eid	dataset	euri	elabel	tripleNum
1	dsfaces	http://dbpedia.org/resource/Barack_Obama	Barack_Obama	46
2	dsfaces	http://dbpedia.org/resource/Friedrich_Engel_(mathematician)	Friedrich_Engel_(mathematician)	52
3	dsfaces	http://dbpedia.org/resource/Marie_Curie	Marie_Curie	39
4	dsfaces	http://dbpedia.org/resource/Bill_Gates	Bill_Gates	39
5	dsfaces	http://dbpedia.org/resource/Richard_Mentor_Johnson	Richard_Mentor_Johnson	61
6	dsfaces	http://dbpedia.org/resource/Family_Feud	Family_Feud	78
7	dsfaces	http://dbpedia.org/resource/John_Napier	John_Napier	33
8	dsfaces	http://dbpedia.org/resource/Candle_in_the_Wind	Candle_in_the_Wind	26
9	dsfaces	http://dbpedia.org/resource/Edward_Teller	Edward_Teller	32
10	dsfaces	http://dbpedia.org/resource/Total_Recall_(1990_film)	Total_Recall_(1990_film)	43
11	dsfaces	http://dbpedia.org/resource/Rice_University	Rice_University	29
12	dsfaces	http://dbpedia.org/resource/Czech_Republic	Czech_Republic	34
13	dsfaces	http://dbpedia.org/resource/Amsterdam	Amsterdam	55
14	dsfaces	http://dbpedia.org/resource/Henry_IV_of_France	Henry_IV_of_France	43
15	dsfaces	http://dbpedia.org/resource/Bruce_Lee	Bruce_Lee	36
16	dsfaces	http://dbpedia.org/resource/Argo_(2012_film)	Argo_(2012_film)	31
17	dsfaces	http://dbpedia.org/resource/Manchester_City_F.C.	Manchester_City_F.C.	62
18	dsfaces	http://dbpedia.org/resource/The_Cosby_Show	The_Cosby_Show	59
19	dsfaces	http://dbpedia.org/resource/Ann_Arbor,_Michigan	Ann_Arbor,_Michigan	36
20	dsfaces	http://dbpedia.org/resource/Yukon_River	Yukon_River	26
21	dsfaces	http://dbpedia.org/resource/England	England	28
22	dsfaces	http://dbpedia.org/resource/Poland	Poland	42
23	dsfaces	http://dbpedia.org/resource/Original_Sin_(2001_film)	Original_Sin_(2001_film)	34
24	dsfaces	http://dbpedia.org/resource/Ferrari	Ferrari	30
25	dsfaces	http://dbpedia.org/resource/Crysis_2	Crysis_2	39
26	dsfaces	http://dbpedia.org/resource/Reign_of_Fire_(film)	Reign_of_Fire_(film)	38
27	dsfaces	http://dbpedia.org/resource/Beverly_Hills,_90210	Beverly_Hills,_90210	88
28	dsfaces	http://dbpedia.org/resource/Seychelles	Seychelles	33
29	dsfaces	http://dbpedia.org/resource/Friends	Friends	52
30	dsfaces	http://dbpedia.org/resource/Texas	Texas	42
31	dsfaces	http://dbpedia.org/resource/Alan_Turing	Alan_Turing	52
32	dsfaces	http://dbpedia.org/resource/Aladdin_(1992_Disney_film)	Aladdin_(1992_Disney_film)	38
33	dsfaces	http://dbpedia.org/resource/Walt_Disney	Walt_Disney	57
34	dsfaces	http://dbpedia.org/resource/Albert_Einstein	Albert_Einstein	35
35	dsfaces	http://dbpedia.org/resource/Vladimir_Putin	Vladimir_Putin	78
36	dsfaces	http://dbpedia.org/resource/Mortal_Kombat_Trilogy	Mortal_Kombat_Trilogy	40
37	dsfaces	http://dbpedia.org/resource/(What_Is)_Love%3F	(What_Is)_Love%3F	29
38	dsfaces	http://dbpedia.org/resource/Knight_Rider_(1982_TV_series)	Knight_Rider_(1982_TV_series)	46
39	dsfaces	http://dbpedia.org/resource/Baywatch	Baywatch	56
40	dsfaces	http://dbpedia.org/resource/Norway	Norway	40
41	dsfaces	http://dbpedia.org/resource/Nile	Nile	36
42	dsfaces	http://dbpedia.org/resource/Charles_Darwin	Charles_Darwin	62
43	dsfaces	http://dbpedia.org/resource/Love_Me_(Justin_Bieber_song)	Love_Me_(Justin_Bieber_song)	38
44	dsfaces	http://dbpedia.org/resource/Never_Let_You_Go_(Justin_Bieber_song)	Never_Let_You_Go_(Justin_Bieber_song)	34
45	dsfaces	http://dbpedia.org/resource/Lexus	Lexus	34
46	dsfaces	http://dbpedia.org/resource/J._C._Penney	J._C._Penney	19
47	dsfaces	http://dbpedia.org/resource/Benjamin_Franklin	Benjamin_Franklin	46
48	dsfaces	http://dbpedia.org/resource/Mike_Turner	Mike_Turner	33
49	dsfaces	http://dbpedia.org/resource/Usain_Bolt	Usain_Bolt	38
50	dsfaces	http://dbpedia.org/resource/Joe_Biden	Joe_Biden	55
