1	[151, 144, 132, 158, 147]
2	[534, 540, 556, 539, 551]
3	[706, 739, 710, 721, 703]
4	[203, 170, 185, 199, 173]
5	[888, 875, 881, 876, 880]
6	[427, 443, 437, 475, 445]
7	[618, 606, 631, 621, 637]
8	[247, 258, 256, 261, 251]
9	[371, 363, 353, 346, 354]
10	[969, 965, 988, 979, 980]
11	[824, 843, 819, 821, 835]
12	[317, 328, 341, 342, 330]
13	[47, 41, 6, 43, 50]
14	[574, 583, 602, 605, 604]
15	[209, 236, 217, 211, 230]
16	[98, 99, 122, 107, 111]
17	[644, 650, 691, 692, 652]
18	[912, 936, 938, 918, 906]
19	[75, 64, 80, 73, 88]
20	[1013, 1016, 1017, 1022, 1031]
21	[377, 382, 391, 393, 384]
22	[783, 776, 815, 814, 774]
23	[742, 773, 747, 752, 766]
24	[498, 502, 508, 492, 483]
25	[294, 300, 301, 298, 290]
26	[1870, 1867, 1879, 1890, 1877]
27	[1294, 1292, 1320, 1310, 1300]
28	[1909, 1918, 1934, 1927, 1924]
29	[1470, 1452, 1460, 1450, 1489]
30	[1940, 1963, 1969, 1942, 1964]
31	[1141, 1111, 1151, 1123, 1150]
32	[1068, 1075, 1094, 1092, 1086]
33	[2108, 2124, 2152, 2121, 2120]
34	[1184, 1173, 1179, 1185, 1166]
35	[2024, 2040, 2019, 2037, 2051]
36	[1737, 1721, 1733, 1752, 1740]
37	[1046, 1039, 1036, 1062, 1057]
38	[1581, 1593, 1582, 1608, 1580]
39	[1213, 1218, 1233, 1194, 1190]
40	[1829, 1864, 1861, 1846, 1837]
41	[1812, 1800, 1821, 1826, 1814]
42	[1431, 1393, 1434, 1387, 1413]
43	[1669, 1652, 1661, 1679, 1649]
44	[1777, 1772, 1762, 1785, 1784]
45	[1631, 1628, 1633, 1642, 1625]
46	[1492, 1510, 1503, 1495, 1506]
47	[1257, 1244, 1266, 1275, 1245]
48	[1708, 1705, 1701, 1697, 1716]
49	[1998, 2000, 1989, 1987, 2014]
50	[1537, 1525, 1533, 1521, 1535]
