1	[129, 130, 133, 136, 137]
2	[512, 514, 518, 527, 528]
3	[701, 704, 709, 710, 712]
4	[169, 171, 173, 179, 180]
5	[845, 847, 849, 857, 858]
6	[404, 405, 411, 429, 430]
7	[608, 609, 613, 614, 616]
8	[245, 253, 254, 259, 260]
9	[343, 356, 359, 360, 361]
10	[968, 969, 976, 977, 985]
11	[816, 817, 826, 827, 842]
12	[312, 313, 315, 316, 317]
13	[2, 3, 4, 5, 7]
14	[563, 564, 565, 572, 573]
15	[211, 214, 216, 217, 219]
16	[112, 113, 114, 118, 101]
17	[653, 654, 689, 676, 643]
18	[919, 931, 933, 938, 939]
19	[57, 58, 61, 62, 63]
20	[1010, 1011, 1012, 1015, 1016]
21	[399, 400, 389, 390, 396]
22	[777, 780, 781, 782, 783]
23	[744, 749, 750, 751, 758]
24	[481, 482, 483, 484, 485]
25	[275, 280, 284, 287, 291]
26	[1872, 1874, 1873, 1875, 1899]
27	[1298, 1301, 1304, 1315, 1326]
28	[1929, 1931, 1916, 1930, 1908]
29	[1444, 1449, 1464, 1465, 1466]
30	[1939, 1940, 1941, 1944, 1947]
31	[1105, 1106, 1113, 1116, 1117]
32	[1063, 1070, 1071, 1078, 1093]
33	[2096, 2099, 2100, 2101, 2102]
34	[1153, 1154, 1165, 1167, 1170]
35	[2026, 2027, 2029, 2030, 2031]
36	[1725, 1734, 1735, 1744, 1746]
37	[1059, 1060, 1057, 1058, 1048]
38	[1573, 1575, 1577, 1583, 1584]
39	[1188, 1195, 1198, 1199, 1203]
40	[1849, 1843, 1846, 1853, 1850]
41	[1825, 1824, 1822, 1796, 1798]
42	[1378, 1381, 1388, 1391, 1395]
43	[1650, 1659, 1660, 1663, 1666]
44	[1761, 1768, 1770, 1771, 1773]
45	[1644, 1645, 1613, 1612, 1614]
46	[1493, 1494, 1495, 1496, 1497]
47	[1244, 1246, 1247, 1248, 1253]
48	[1684, 1685, 1689, 1690, 1693]
49	[1980, 1983, 1988, 1992, 1994]
50	[1515, 1516, 1517, 1518, 1519]
