1	0.6	3	5
2	0.6	3	5
3	0.6	3	5
4	1.0	5	5
5	0.8	4	5
6	1.0	5	5
7	1.0	5	5
8	0.6	3	5
9	1.0	5	5
10	0.6	3	5
11	0.8	4	5
12	0.8	4	5
13	0.8	4	5
14	1.0	5	5
15	1.0	5	5
16	0.8	4	5
17	1.0	5	5
18	1.0	5	5
19	1.0	5	5
20	1.0	5	5
21	1.0	5	5
22	1.0	5	5
23	0.8	4	5
24	1.0	5	5
25	1.0	5	5
26	0.4	2	5
27	1.0	5	5
28	0.8	4	5
29	1.0	5	5
30	0.6	3	5
31	1.0	5	5
32	1.0	5	5
33	1.0	5	5
34	1.0	5	5
35	1.0	5	5
36	1.0	5	5
37	1.0	5	5
38	1.0	5	5
39	1.0	5	5
40	1.0	5	5
41	1.0	5	5
42	0.8	4	5
43	1.0	5	5
44	0.8	4	5
45	1.0	5	5
46	1.0	5	5
47	0.8	4	5
48	1.0	5	5
49	0.8	4	5
50	0.8	4	5
51	1.0	5	5
52	1.0	5	5
53	1.0	5	5
54	1.0	5	5
55	1.0	5	5
56	1.0	5	5
57	1.0	5	5
58	0.6	3	5
59	1.0	5	5
60	1.0	5	5
61	1.0	5	5
62	1.0	5	5
63	1.0	4	4
64	0.8	4	5
65	0.8	4	5
66	0.8	4	5
67	1.0	5	5
68	0.8	4	5
69	1.0	5	5
70	1.0	5	5
71	0.8	4	5
72	1.0	5	5
73	0.8	4	5
74	1.0	5	5
75	1.0	5	5
76	0.8	4	5
77	0.4	2	5
78	1.0	5	5
79	1.0	5	5
80	1.0	5	5
81	1.0	5	5
82	1.0	5	5
83	1.0	5	5
84	1.0	5	5
85	0.8	4	5
86	1.0	5	5
87	1.0	5	5
88	1.0	5	5
89	1.0	5	5
90	1.0	5	5
91	1.0	5	5
92	0.6	3	5
93	1.0	5	5
94	0.8	4	5
95	1.0	5	5
96	0.8	4	5
97	1.0	5	5
98	0.8	4	5
99	1.0	5	5
100	1.0	5	5
141	0.8	4	5
142	1.0	5	5
143	1.0	5	5
144	0.8	4	5
145	1.0	5	5
146	1.0	5	5
147	1.0	5	5
148	1.0	5	5
149	0.8	4	5
150	1.0	5	5
151	0.8	4	5
152	0.8	4	5
153	1.0	5	5
154	1.0	5	5
155	1.0	5	5
156	1.0	5	5
157	1.0	5	5
158	1.0	5	5
159	1.0	5	5
160	1.0	5	5
161	1.0	5	5
162	0.8	4	5
163	1.0	5	5
164	0.8	4	5
165	0.8	4	5
