1	[150, 133, 136, 161, 146]
2	[542, 548, 538, 557, 514]
3	[725, 735, 701, 710, 713]
4	[181, 207, 201, 173, 182]
5	[874, 892, 866, 857, 894]
6	[431, 474, 465, 450, 404]
7	[622, 632, 625, 637, 620]
8	[254, 248, 264, 259, 255]
9	[356, 373, 360, 367, 343]
10	[977, 968, 988, 1006, 969]
11	[839, 841, 817, 821, 823]
12	[323, 322, 337, 327, 315]
13	[7, 45, 40, 29, 26]
14	[575, 573, 601, 591, 581]
15	[228, 240, 222, 229, 211]
16	[102, 94, 119, 117, 92]
17	[648, 639, 652, 649, 693]
18	[933, 957, 964, 944, 941]
19	[63, 74, 87, 61, 67]
20	[1026, 1033, 1011, 1021, 1016]
21	[388, 387, 401, 400, 397]
22	[795, 803, 798, 783, 777]
23	[751, 744, 768, 760, 749]
24	[497, 482, 506, 484, 494]
25	[307, 280, 293, 284, 302]
26	[1881, 1902, 1891, 1893, 1869]
27	[1327, 1304, 1371, 1315, 1376]
28	[1935, 1936, 1919, 1934, 1905]
29	[1466, 1489, 1468, 1474, 1488]
30	[1955, 1974, 1970, 1968, 1961]
31	[1125, 1145, 1140, 1131, 1105]
32	[1074, 1071, 1063, 1076, 1089]
33	[2125, 2143, 2101, 2096, 2106]
34	[1169, 1175, 1181, 1170, 1186]
35	[2036, 2035, 2088, 2029, 2038]
36	[1735, 1725, 1746, 1726, 1742]
37	[1045, 1060, 1058, 1038, 1036]
38	[1591, 1573, 1584, 1596, 1598]
39	[1230, 1205, 1195, 1224, 1222]
40	[1842, 1866, 1864, 1858, 1855]
41	[1826, 1810, 1819, 1797, 1803]
42	[1423, 1439, 1424, 1421, 1395]
43	[1660, 1663, 1674, 1667, 1658]
44	[1770, 1761, 1771, 1781, 1778]
45	[1645, 1642, 1639, 1643, 1613]
46	[1504, 1508, 1492, 1501, 1503]
47	[1264, 1286, 1274, 1246, 1280]
48	[1696, 1715, 1706, 1684, 1689]
49	[1992, 2006, 1998, 1990, 1995]
50	[1520, 1517, 1515, 1541, 1523]
