1	0.6	3	5
2	0.8	4	5
3	0.2	1	5
4	0.2	1	5
5	0.6	3	5
6	0.4	2	5
7	0.2	1	5
8	0.4	2	5
9	0.8	4	5
10	0.6	3	5
11	0.5	2	4
12	1.0	5	5
13	0.8	4	5
14	0.8	4	5
15	0.6	3	5
16	0.6	3	5
17	0.6	3	5
18	0.8	4	5
19	0.8	4	5
20	1.0	5	5
21	0.8	4	5
22	1.0	4	4
23	0.8	4	5
24	0.8	4	5
25	0.6	3	5
26	0.2	1	5
27	0.8	4	5
28	0.6666666666666666	2	3
29	1.0	5	5
30	1.0	5	5
31	1.0	5	5
32	1.0	5	5
33	1.0	5	5
34	1.0	5	5
35	1.0	5	5
36	0.8	4	5
37	0.8	4	5
38	1.0	5	5
39	1.0	5	5
40	0.8	4	5
41	1.0	5	5
42	0.6	3	5
43	0.6	3	5
44	0.6	3	5
45	0.8	4	5
46	1.0	5	5
47	1.0	5	5
48	0.8	4	5
49	0.4	2	5
50	0.8	4	5
51	1.0	5	5
52	0.4	2	5
53	0.2	1	5
54	0.6	3	5
55	0.8	4	5
56	0.6	3	5
57	0.8	4	5
58	0.4	2	5
59	0.6	3	5
60	0.4	2	5
61	0.8	4	5
62	0.8	4	5
63	0.25	1	4
64	0.8	4	5
65	0.8	4	5
66	0.8	4	5
67	0.6	3	5
68	0.6	3	5
69	0.6	3	5
70	0.6	3	5
71	0.8	4	5
72	1.0	4	4
73	0.6	3	5
74	0.8	4	5
75	0.6	3	5
76	0.6	3	5
77	0.8	4	5
78	1.0	4	4
79	0.6	3	5
80	0.6	3	5
81	0.8	4	5
82	1.0	5	5
83	1.0	5	5
84	1.0	5	5
85	1.0	5	5
86	0.8	4	5
87	1.0	5	5
88	1.0	5	5
89	1.0	5	5
90	1.0	5	5
91	1.0	5	5
92	0.8	4	5
93	0.8	4	5
94	0.6	3	5
95	0.8	4	5
96	0.8	4	5
97	1.0	5	5
98	0.6	3	5
99	0.6	3	5
100	0.8	4	5
141	0.8	4	5
142	0.2	1	5
143	0.6	3	5
144	0.8	4	5
145	0.2	1	5
146	0.2	1	5
147	0.6	3	5
148	0.8	4	5
149	1.0	5	5
150	0.8	4	5
151	0.8	4	5
152	0.6	3	5
153	0.6	3	5
154	0.8	4	5
155	0.8	4	5
156	1.0	5	5
157	1.0	5	5
158	1.0	5	5
159	1.0	5	5
160	1.0	5	5
161	1.0	5	5
162	0.8	4	5
163	1.0	5	5
164	0.6	3	5
165	0.6	3	5
