	dbpedia	PRoV	desc	1.0562306876712735
top5	dbpedia	PRoV	gold	1.2658554651895768	1.1984649565337606
top5	dbpedia	PRoV	relin	0.2175958484150918	0.20601167051379338
top5	dbpedia	PRoV	diversum	1.2563981917419489	1.1895111611574125
top5	dbpedia	PRoV	faces	1.4385275298627598	1.3619444565034897
top5	dbpedia	PRoV	faces_e	1.5396737954240953	1.4577059854402583
top5	dbpedia	PRoV	cd	0.21354382330891847	0.2021753635843791
top5	dbpedia	PRoV	linksum	1.7439659459715577	1.6511222087445403
top5	dbpedia	PRoV	bafrec	2.0569208825725207	1.9474163235187956
top5	dbpedia	PRoV	kafca	1.0570252949707892	1.0007523046894875
top5	dbpedia	PRoV	mpsum	1.3150478002882686	1.2450384330222621
top5	dbpedia	PRoV	esa	1.0094605119806423	0.9557197341105969
top5	dbpedia	PRoV	deeplens	1.416922822159982	1.3414899213768776
	dbpedia	LFoP	desc	9.490990741155183
top5	dbpedia	LFoP	gold	4.8192	0.5077657466362081
top5	dbpedia	LFoP	relin	2.0176	0.21258054664948817
top5	dbpedia	LFoP	diversum	5.394800000000001	0.5684127344690023
top5	dbpedia	LFoP	faces	2.4240000000000004	0.25540010164470633
top5	dbpedia	LFoP	faces_e	5.505200000000001	0.580044818306286
top5	dbpedia	LFoP	cd	1.9231999999999998	0.20263427206398477
top5	dbpedia	LFoP	linksum	2.8653333333333335	0.3019003401729779
top5	dbpedia	LFoP	bafrec	5.0672	0.5338957900388018
top5	dbpedia	LFoP	kafca	2.808	0.295859523687432
top5	dbpedia	LFoP	mpsum	3.5584	0.3749239775959252
top5	dbpedia	LFoP	esa	1.8975999999999997	0.19993697726113638
top5	dbpedia	LFoP	deeplens	2.4751999999999987	0.2607946912504029
	dbpedia	GFoP	desc	6.812666097844973
top5	dbpedia	GFoP	gold	6.210553313433988	0.9116186268689362
top5	dbpedia	GFoP	relin	5.918728619856582	0.8687830189900005
top5	dbpedia	GFoP	diversum	6.193109468805077	0.9090581249481935
top5	dbpedia	GFoP	faces	5.784736646348722	0.8491149519537714
top5	dbpedia	GFoP	faces_e	6.222027432525461	0.913302860167131
top5	dbpedia	GFoP	cd	5.9030628988087175	0.866483519671691
top5	dbpedia	GFoP	linksum	5.718523354602392	0.8393958066448189
top5	dbpedia	GFoP	bafrec	6.487847069285435	0.9523213050670005
top5	dbpedia	GFoP	kafca	5.787841301036085	0.849570669971178
top5	dbpedia	GFoP	mpsum	5.971796996265538	0.8765726824854334
top5	dbpedia	GFoP	esa	5.777287423904892	0.8480215147682639
top5	dbpedia	GFoP	deeplens	5.815851023231358	0.8536820885836554
	dbpedia	GFoV	desc	3.4174682806200307
top5	dbpedia	GFoV	gold	2.5658905734439634	0.7508162074231262
top5	dbpedia	GFoV	relin	0.9207574334801112	0.2694267679678532
top5	dbpedia	GFoV	diversum	2.8844128009772865	0.8440203577994784
top5	dbpedia	GFoV	faces	2.7383487462397436	0.8012799304586158
top5	dbpedia	GFoV	faces_e	3.053975600783168	0.8936368533694439
top5	dbpedia	GFoV	cd	0.9149760236138075	0.26773504491687733
top5	dbpedia	GFoV	linksum	3.0612275363931554	0.8957588732433699
top5	dbpedia	GFoV	bafrec	3.073870121714911	0.8994582741693272
top5	dbpedia	GFoV	kafca	2.192941702982903	0.6416860444378544
top5	dbpedia	GFoV	mpsum	2.4849508077166886	0.7271320766335962
top5	dbpedia	GFoV	esa	1.7856549963471937	0.5225081404481163
top5	dbpedia	GFoV	deeplens	2.2068494332914645	0.6457556448456857
	dbpedia	IoPV	desc	3.9498311636756505
top5	dbpedia	IoPV	gold	4.955480816704523	1.254605731575886
top5	dbpedia	IoPV	relin	6.925039458760584	1.7532494863188663
top5	dbpedia	IoPV	diversum	4.56570849577497	1.1559249766833564
top5	dbpedia	IoPV	faces	4.808820818801856	1.217475031091416
top5	dbpedia	IoPV	faces_e	4.42277782849776	1.1197384508916561
top5	dbpedia	IoPV	cd	6.925039458760584	1.7532494863188663
top5	dbpedia	IoPV	linksum	4.4903665221910005	1.1368502440019073
top5	dbpedia	IoPV	bafrec	4.344519179436532	1.0999252877921981
top5	dbpedia	IoPV	kafca	5.332874036071495	1.3501524027444267
top5	dbpedia	IoPV	mpsum	5.088916346799712	1.2883883224173174
top5	dbpedia	IoPV	esa	5.926390394678959	1.5004161314996447
top5	dbpedia	IoPV	deeplens	5.442376886328841	1.3778758283086336
	lmdb	PRoV	desc	0.002845686063974634
top5	lmdb	PRoV	gold	0.008930577755137559	3.1382863584973317
top5	lmdb	PRoV	relin	2.2682745743714533e-05	0.007970923437715063
top5	lmdb	PRoV	diversum	9.555765967733834e-05	0.03357983190312666
top5	lmdb	PRoV	faces	0.011887401280140084	4.177341074488266
top5	lmdb	PRoV	faces_e	0.014478487053649076	5.087872213643499
